
Subclases;25120;Reconstrucció i recautxutatge de pneumàtics;
Clases;2513;Fabricació d'altres productes de cautxú;
Subclases;25130;Fabricació d'altres productes de cautxú;
Grupos;252;Fabricació de productes de matèries plàstiques;
Clases;2521;Fabricació de plaques, fulls, tubs i perfils de matèries plàstiques;
Subclases;25210;Fabricació de plaques, fulls, tubs i perfils de matèries plàstiques;
Clases;2522;Fabricació d'envasos i embalatges de matèries plàstiques;
Subclases;25220;Fabricació d'envasos i embalatges de matèries plàstiques;
Clases;2523;Fabricació de productes de matèries plàstiques per a la construcció;
Subclases;25230;Fabricació de productes de matèries plàstiques per a la construcció;
Clases;2524;Fabricació d'altres productes de matèries plàstiques;
Subclases;25241;Fabricació de productes diversos amb matèries plàstiques;
Subclases;25242;Fabricació de peces tècniques amb matèries plàstiques;
Subsecciones;DI;INDÚSTRIES D'ALTRES PRODUCTES MINERALS NO METÀL·LICS;
Divisiones;26;Fabricació d'altres productes minerals no metàl·lics;
Grupos;261;Fabricació de vidre i productes de vidre;
Clases;2611;Fabricació de vidre pla;
Subclases;26110;Fabricació de vidre pla;
Clases;2612;Manipulació i transformació del vidre pla;
Subclases;26120;Manipulació i transformació del vidre pla;
Clases;2613;Fabricació de vidre buit;
Subclases;26130;Fabricació de vidre buit;
Clases;2614;Fabricació de fibra de vidre;
Subclases;26140;Fabricació de fibra de vidre;
Clases;2615;Fabricació i manipulació d'altres vidres (inclòs el vidre tècnic);
Subclases;26150;Fabricació i manipulació d'altres vidres (inclòs el vidre tècnic);
Grupos;262;"Fabricació de productes ceràmics no refractaris excepte els destinats a la construcció; fabricació de productes ceràmics refractaris";
Clases;2621;Fabricació d'articles ceràmics d'ús domèstic i ornamental;
Subclases;26210;Fabricació d'articles ceràmics d'ús domèstic i ornamental;
Clases;2622;Fabricació d'aparells sanitaris ceràmics;
Subclases;26220;Fabricació d'aparells sanitaris ceràmics;
Clases;2623;Fabricació d'aïlladors i peces aïllants de material ceràmic;
Subclases;26230;Fabricació d'aïlladors i peces aïllants de material ceràmic;
Clases;2624;Fabricació d'altres productes ceràmics d'ús tècnic;
